date,url,page_type,cluster,priority,index_status,impressions,clicks,ctr,average_position,cta_clicks,top_product_clicked,affiliate_status,next_action,notes
2026-03-26,https://accountanttoolkit.com/best-accounting-software-for-freelancers,roundup,accounting,1,,,,,,,apply xero/zoho/freshbooks,refresh title and CTA copy,
2026-03-26,https://accountanttoolkit.com/best-bookkeeping-software-for-solo-accountants,roundup,bookkeeping,2,,,,,,,apply xero/zoho,refresh proof layer,
2026-03-26,https://accountanttoolkit.com/best-invoicing-software,roundup,invoicing,3,,,,,,,apply freshbooks,refresh title and CTA copy,
2026-03-26,https://accountanttoolkit.com/xero-review,review,accounting,4,,,,,,,apply xero,refresh pricing and verdict copy,
2026-03-26,https://accountanttoolkit.com/quickbooks-review,review,accounting,5,,,,,,,official only,refresh proof layer,
2026-03-26,https://accountanttoolkit.com/freshbooks-review,review,invoicing,6,,,,,,,apply freshbooks,refresh proof layer,
2026-03-26,https://accountanttoolkit.com/xero-vs-wave,comparison,accounting,7,,,,,,,apply xero,refresh decision shortcuts,
2026-03-26,https://accountanttoolkit.com/quickbooks-vs-xero,comparison,accounting,8,,,,,,,apply xero,refresh decision shortcuts,
2026-03-26,https://accountanttoolkit.com/dext-review,review,receipt-capture,9,,,,,,,official only,add vendor CTA and proof layer,
2026-03-26,https://accountanttoolkit.com/dext-vs-hubdoc,comparison,receipt-capture,10,,,,,,,official only,add vendor CTA and proof layer,
